document_title,source_url,document_type,session,date,year,question_number,asked_by,minister,section,question_text,parts_count
"Wednesday, 9th March, 2022",https://www.parliament.gov.zm/node/10024,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,274,Ms Nakaponda (Isoka),Minister of Home Affairs and Internal Security,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to rehabilitate the following infrastructure in Isoka Parliamentary Constituency: (i) Isoka Police Station; and (ii) houses for police officers at Isoka Police Station; and (b) if so, when the plans will be implemented.",3
"Wednesday, 9th March, 2022",https://www.parliament.gov.zm/node/10024,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,275,Mr Siachisumo (Lufwanyama),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) when the tarring of the M18 road from Lufwanyama to the Kasempa-Solwezi road will commence; (b) what the cause of the delay in commencing the project is; (c) what the total cost of the project is; and (d) what the time frame for the completion of the project is.,4
"Wednesday, 9th March, 2022",https://www.parliament.gov.zm/node/10024,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,276,Mr E Tembo (Feira),Minister of Transport and Logistics when the pontoon at the confluence of the Luangwa and Zambezi Rivers in Feira Parliamentary Constituency will become operational.,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),,0
"Wednesday, 9th March, 2022",https://www.parliament.gov.zm/node/10024,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,277,Mrs Chinyama (Kafue),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) why the rehabilitation of the following roads in Kafue Parliamentary Constituency has stalled: (i) Shantumbu; and (ii) C7 - Chanyanya; (b) when the projects will resume; and (c) what the time frame for the completion of each project is.,4
"Wednesday, 9th March, 2022",https://www.parliament.gov.zm/node/10024,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,278,Mr Nyambose (Chasefu),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to rehabilitate the following infrastructure in Chasefu District: (i) Chasefu - Chikwa road; and (ii) Luwelezi Bridge on Chasefu-Chikwa road; and (b) if so, when the plans will be implemented. __________________________",3
"Thursday, 9th March, 2023",https://www.parliament.gov.zm/node/10935,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,190,Ms Nyemba (Chifunabuli),Minister of Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct laboratories at Lubwe Secondary School in Chifunabuli District for the following: (i) information and communication technology; and (ii) science; and (b) if so, when the plans will be implemented.",3
"Thursday, 9th March, 2023",https://www.parliament.gov.zm/node/10935,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,191,Mr Kalimi (Malole),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) why the rehabilitation of the following feeder roads in Malole Parliamentary Constituency has stalled: (i) Chonya - Mwamba Mulilo; (ii) Chimba - Chimbola Village; (iii) Katongo Chibwe - Mabula; (iv) Henry Kapata - Katilungu; and (v) Chanda Weyaya - Peleti - Mbesuma; (b) when the projects will resume; (c) what the cause of the delay in completing each project is; and (d) what the cost of the outstanding works on each project is. NOTICE OF MOTION Ms Kasune Adopt Report of the Zambian Delegation to the 52nd Plenary Assembly Session of the SADC Parliamentary Forum : That this House do adopt the Report of the Zambian Delegation to the 52nd Plenary Assembly Session of the SADC Parliamentary Forum held in Kinshasa, Democratic Republic of Congo (DRC) from 4th to 11th December, 2022, for the Second Session of the Thirteenth National Assembly, laid on the Table of the House on 22nd February, 2023. ORDER OF THE DAY 1. Thanks – His Excellency the President’s Address– Motion (28th February) – Resumption of Debate: (Mr Fube, MP). ____________________________",6
"Tuesday, 18th June, 2024",https://www.parliament.gov.zm/node/11726,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,361,Mr Fube (Chilubi),Minister of Mines and Minerals Development,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) what the lifespan of lithium deposits discovered in Mapatizya Parliamentary Constituency is; (b) whether the Government has any plans to ensure that the lithium is processed within the Constituency in order to add value before export; and (c) if so, when the plans will be implemented.",3
"Tuesday, 18th June, 2024",https://www.parliament.gov.zm/node/11726,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,362,Mr Miyutu (Kalabo Central),Minister of Energy,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to facilitate the construction of a fuel filling station in Kalabo District; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Tuesday, 18th June, 2024",https://www.parliament.gov.zm/node/11726,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,363,Mr Munsanje (Mbabala),Minister of Community Development and Social Services,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to revive the Maurice Katowa Home Craft Centre at Mapanza in Mbabala Parliamentary Constituency; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Tuesday, 18th June, 2024",https://www.parliament.gov.zm/node/11726,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,364,Mr Mutale (Chitambo),"Minister of Infrastructure, Housing and Urban Development",5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to construct a bridge across the Mulembo River in Chitambo District to connect the Katikulula Resettlement Scheme Phase 1 to Phase 3; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Tuesday, 18th June, 2024",https://www.parliament.gov.zm/node/11726,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,365,Mr Mutinta (Itezhi-Tezhi),Minister of Green Economy and Environment,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) how many carbon trading projects were approved under the Interim Carbon Trading Guidelines from 2021 to 2022 year by year; (b) what the total number of carbon credits sold, as of December, 2022, was; (c) what the projected carbon credit sales by the year 2030 is; and (d) what the anticipated financial benefits from the sales to the country are.",4
"Tuesday, 18th June, 2024",https://www.parliament.gov.zm/node/11726,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,366,Mr Kapyanga (Mpika),"Minister of Infrastructure, Housing and Urban Development",5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) when rehabilitation of the following roads in Mpika District will  commence: (i)      Eco - TAZARA; and (ii) Mpika - Katibunga -Mukungule - Kakoko; (b) what the cause of the delay in commencing the projects is; (c) what the scope of works in each project is; and (d) what the cost of each project is. 6. QUESTION FOR WRITTEN ANSWER (STANDING ORDER 81) W7. Mr J Daka (Chadiza) - to ask the Minister of Lands and Natural Resources: (a) how many title deeds for residential properties were issued in Chadiza Parliamentary Constituency from 2000 to 2023, year by year; (b) whether the Government has any plans to decentralise the issuance of title deeds to district level to make the process efficient; and (c) if there are no such plans, why. 7. NOTICE OF MOTION Ms Nakaponda Adopt Report of the Committee on Health, Community Development and Social Services : That this House adopts the Report of the Committee on Health, Community Development and Social Services on the Ratification of the International Convention of the East, Central and Southern African Health Community, for the Third Session of the Thirteenth National Assembly, laid on the Table of the House on Wednesday, 12th June, 2024. ___________________________",8
"Tuesday, 24th September, 2024",https://www.parliament.gov.zm/node/11904,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,16,Mr Mwambazi (Bwana Mkubwa),Minister of Education,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to construct a secondary school in Bwana Mkubwa Parliamentary Constituency; (b) if so, when the plans will be implemented; and (c) what the estimated cost of the project is.",3
"Tuesday, 24th September, 2024",https://www.parliament.gov.zm/node/11904,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,17,Mr Mabenga (Mulobezi),Minister of Transport and Logistics,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to revive the Njanji Commuter Train in Lusaka District; (b) if so, when the plans will be implemented; (c) if there are no such plans, why; and (d) when the structures that were illegally constructed on rail reserve land will be demolished. 6. ORDER OF THE DAY Thanks – The President’s Address - Motion (17th September) - Resumption of Debate. ___________________________",4
"Friday, 14th February, 2020",https://www.parliament.gov.zm/node/8284,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,140,Mr Imbuwa (Nalolo),Minister of Fisheries and Livestock,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to construct dip tanks in Nalolo District; (b) if so, how many dip tanks are earmarked for construction; (c) where the dip tanks will be situated; and (d) what the average cost of one dip tank is.",4
"Friday, 14th February, 2020",https://www.parliament.gov.zm/node/8284,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,141,Mr Chiyalika (Lufubu),Minister of Justice,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how much money, in court fees, was collected from 2016 to 2017, year by year; (b) whether the establishment of the Court of Appeal has led to an increase in the amount of money collected as court fees annually; (c) whether any money collected as court fees in the period at (a) was misapplied; and (d) if so, what measures were taken against the erring officers.",4
"Friday, 14th February, 2020",https://www.parliament.gov.zm/node/8284,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,142,Mr Kabanda (Serenje),Vice President,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to resettle people from drought and famine prone areas, such as Southern Province and parts of Western Province, to areas with good rainfall such as Central, Luapula and Northern Provinces; (b) if so, when the plans will be implemented; and (c) if there are no such plans, whether there are any long term solutions to mitigate the effects of the drought in the affected areas.",3
"Friday, 14th February, 2020",https://www.parliament.gov.zm/node/8284,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,143,Ms P Jere (Lumezi),"Minister of Water Development,",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when the construction of weirs to promote irrigation and livestock farming on the following Rivers in Lumezi Parliamentary Constituency will commence: (i) Lukusuzi; (ii) Luamphamba; (iii) Lumezi Lower; and (iv) Luasila; (b) what the cost of the project is; and (c) what the time frame for the completion of the project is.,4
"Friday, 14th February, 2020",https://www.parliament.gov.zm/node/8284,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,144,Mr Kamondo (Mufumbwe),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government is aware that parents in Mufumbwe District and other parts of the country are asked to support the operations of the Provincial Education Office and the District Education Board Secretary’s Office through Parents and Teachers’ Association funds; (b) if so, whether the practice is lawful; and (c) if the practice is unlawful, when it will be stopped.",3
"Friday, 14th February, 2020",https://www.parliament.gov.zm/node/8284,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,145,Mr Daka (Msanzala),Minister of Housing and Infrastructure,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when tarring of the following roads in Msanzala Parliamentary Constituency will commence: (i) Nyamphande - Mwape; and (ii) Petauke - Sandwe - Ukwimi - Malama; (b) what has caused the delay in commencing the projects; and (c) what the time frame for the completion of each project is.,4
"Friday, 14th February, 2020",https://www.parliament.gov.zm/node/8284,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,146,Mr P Phiri (Mkaika),"Minister of Water Development,",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many boreholes were sunk in Mkaika Parliamentary Constituency in 2017 and 2018; and (b) if no boreholes were sunk, why.",2
"Friday, 14th February, 2020",https://www.parliament.gov.zm/node/8284,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,147,Mr Kangombe (Sesheke),Minister of Housing and,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when the construction of the Katima Mulilo Trades Training Institute in Sesheke District will be completed; (b) what has caused the delay in completing the project; and (c) what the cost of the outstanding works is.,3
"Friday, 14th February, 2020",https://www.parliament.gov.zm/node/8284,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,148,Dr M Malama (Kanchibiya),Minister of Housing and,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) when the Government will reconstruct the following bridges in Kanchibiya Parliamentary Constituency, which were damaged by heavy rains during the 2018/2019 rainy season: (i) Kabinga; and (ii) Kopa; and (b) when bridges will be constructed at the following crossing points: (i) Chibowo, across Kanchibiya River, connecting Mulonga to Aluni in Luchembe Chiefdom; and (ii) Kaonda, across Lwitikila River, connecting Kaonda Village to Mwansabamba Village.",4
"Friday, 14th February, 2020",https://www.parliament.gov.zm/node/8284,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,149,Mr Kasonso (Solwezi West),Minister of Chiefs and,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) when Chief Matebo of the Kaonde people in Kalumbila District was installed; (b) what the name of the Chief is; (c) when the Chief was recognised by the Government; (d) whether the Chief was on the Government payroll as of February, 2019; and (e) if he was not on the payroll, why. __________________________",5
"Thursday, 21st September, 2023",https://www.parliament.gov.zm/node/11250,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,40,Mr Miyutu (Kalabo Central),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) why there is uncollected garbage in towns and cities, countrywide; (b) whether the Keep Zambia Clean and Healthy Campaign has been achieving its intended purpose; (c) what short and long term measures are being taken to enhance garbage collection and keep the towns and cities clean; and (d) when the measures at (c) will be implemented.",4
"Thursday, 21st September, 2023",https://www.parliament.gov.zm/node/11250,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,41,Ms Halwiindi (Kabwe Central),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to upgrade Natuseko Health Centre in Kabwe District to a first level hospital; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Thursday, 21st September, 2023",https://www.parliament.gov.zm/node/11250,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,42,Mr E Daka (Msanzala),Minister of Water Development and Sanitation,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) how many dams were operational in Msanzala Parliamentary Constituency, as of April, 2023; (b) how many dams were not operational; (c) when the dams at (b) will be rehabilitated; (d) whether the Government has any plans to construct more dams in the Constituency; (e) if so, how many dams are earmarked for construction; (f) what the cost of constructing the new dams is; and (g) if there are no such plans, why.",7
"Thursday, 21st September, 2023",https://www.parliament.gov.zm/node/11250,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,43,Mr C Kang’ombe (Kamfinsa),Minister of Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) how many districts, countrywide, did not have a boarding secondary school, as of August, 2023; (b) whether the Government has any plans to construct boarding secondary schools in the affected districts; (c) if so, when the plans will be implemented; and (d) if there are no such plans, why. ORDER OF THE DAY 1. Thanks –His Excellency the President’s Address - Motion (13th September) - Resumption of Debate: (MrKalobo, MP) . ___________________________",4
"Friday, 21st March, 2025",https://www.parliament.gov.zm/node/12252,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,267,Mr Malambo (Magoye),Minister of Water Development and Sanitation,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to construct a dam on Magoye River in Mwanachingwala Chiefdom in Magoye Parliamentary Constituency; (b) if so, when the plans will be implemented; (c) what the cost of the project is; and (d) if there are no such plans, why.",4
"Friday, 21st March, 2025",https://www.parliament.gov.zm/node/12252,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,268,Ms S Mwamba (Kasama Central),Minister of Agriculture,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) how many farming blocks there were in Kasama District, as of June, 2024; and (b) how many were operational, as of the date above.",2
"Friday, 21st March, 2025",https://www.parliament.gov.zm/node/12252,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,269,Mr Mabenga (Mulobezi),Minister of Transport and Logistics,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to train public service vehicle drivers in defensive driving so as to reduce road carnage; (b) if so, when the plans will be implemented; and (c) what other measures are being taken to enhance adherence to road traffic rules and regulations by public service vehicle drivers.",3
"Friday, 21st March, 2025",https://www.parliament.gov.zm/node/12252,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,270,Mr J Daka (Chadiza),Minister of Agriculture,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government is aware that the Tobacco Board of Zambia (TBZ) land in Chadiza Parliamentary Constituency has been encroached upon; (b) whether the Government is aware that some squatters on the TBZ land have been selling portions of the land; and (c) if so, what measures are being taken to reclaim and protect the land from encroachment.",3
"Friday, 21st March, 2025",https://www.parliament.gov.zm/node/12252,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,271,Mr Miyutu (Kalabo Central),Minister of Local Government and Rural Development,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) how many recognised chiefs there were in Western Province, as of December, 2024; (b) how many chiefs, if any, were not recognised, as of December, 2024; (c) why the chiefs at (b) were not recognised; and (d) whether chiefs are paid a salary. 7. ORDER OF THE DAY Thanks - The President’s Address – Motion (4th March) - Resumption of debate. ___________________________",4
"Friday, 23rd March, 2018",https://www.parliament.gov.zm/node/7467,Order Paper,SECOND SESSION OF THE TWELFTH ASSEMBLY,,,245,Mr Kasonso (Solwezi West),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER NO. 30),"(a) whether the Government has any plans to distribute desks to schools in Kalumbila District; (b) if so, when the desks will be distributed; (c) how many schools will benefit from the exercise; and (d) what the total cost of purchasing and distributing the desks is.",4
"Friday, 23rd March, 2018",https://www.parliament.gov.zm/node/7467,Order Paper,SECOND SESSION OF THE TWELFTH ASSEMBLY,,,246,Mr Ng’onga (Kaputa),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER NO. 30),(a) what has caused the delay in gazetting the 5 health facilities in Kaputa District; (b) what the necessary conditions for a health facility to be gazetted are; and (c) why the Mukupa-Katandula Rural Health Centre has not been gazetted to-date.,3
"Friday, 23rd March, 2018",https://www.parliament.gov.zm/node/7467,Order Paper,SECOND SESSION OF THE TWELFTH ASSEMBLY,,,247,Mr Mecha (Chifunabuli),Minister of Energy,QUESTIONS FOR ORAL ANSWER (STANDING ORDER NO. 30),"(a) whether the Government has any plans to electrify Chishi Island in Chifunabuli Parliamentary Constituency; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Thursday, 16th March, 2023",https://www.parliament.gov.zm/node/10948,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,202,Mr Chanda (Kanchibiya),Minister of Agriculture,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) what measures the Government is taking to promote Hass Avocado farming; (b) whether the Government has any plans to support Small and Medium Enterprises (SMEs) engaged in Hass Avocado farming; (c) if so, what type of support will be rendered to the SMEs; and (d) what measures the Government is taking to promote increased shelf space for local agricultural products in chain stores and supermarkets, countrywide.",4
"Thursday, 16th March, 2023",https://www.parliament.gov.zm/node/10948,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,203,Mr P Phiri (Mkaika),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to rehabilitate the bridges at the following crossing points in Mkaika Parliamentary Constituency: (i) Chisale; (iv) Lupande; and (ii) Mnyamanzi; (v) Chamatonye; and (iii) Mtsanya; (b) if so, when the plans will be implemented.",3
"Thursday, 16th March, 2023",https://www.parliament.gov.zm/node/10948,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,204,Mr Mtayachalo (Chama North),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct bridges across the Lubumbu River at the following crossing points in Chama North Parliamentary Constituency: (i) Sitwe; (ii) Mwinkonde; and (iii) Kapembe; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why. ORDER OF THE DAY 1. Thanks – His Excellency the President’s Address– Motion (28th February)  –   Resumption of Debate:  (Minister for Central Province). ____________________________",4
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,323,Mr Anakoka (Luena),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct a road from Limulunga to Kate in Limulumga District; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,324,Mr Mabenga (Mulobezi),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to rehabilitate the Simungoma - Luampa road in Mulobezi District; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; and (d) what the estimated time frame for the completion of the project is.",4
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,325,Mr Kamondo (Mufumbwe),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct the following infrastructure in Mufumbwe District: (i) a market; and (ii) a bus station; (b) if so, when the plans will be implemented; (c) what the estimated cost of each project is; and (d) what the estimated time frame for the completion of each project is.",5
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,326,Mr Mandandi (Sioma),Minister of Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct additional classroom blocks and staff houses at the following secondary schools in Sioma District: (i) Kalongola; (ii) Mulele; and (iii) Mutomena; (b) if so, when the plans will be implemented; and (c) how many classroom blocks and staff houses are earmarked for construction at each school.",4
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,327,Mr Mulunda (Siavonga),"Minister of Youth, Sport and Arts",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct a youth skills training centre in Siavonga District; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,328,Mr Mutelo (Mitete),Minister of Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct additional classroom blocks and staff houses at the following secondary schools in Kabwata Parliamentary Constituency: (i) Libala; (ii) Kamulanga; and (iii) Chilenje South; (b) if so, when the plans will be implemented; and (c) how many classroom blocks and staff houses will be constructed at each school.",4
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,329,Mr C Chibuye (Mkushi North),Minister of Home Affairs and Internal Security,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) whether the Government has any plans to construct a modern police station in Mkushi District; and (b) when the plans will be implemented.,2
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,330,Mr Mutale (Chitambo),Minister of Energy,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to electrify the following Wards in Chitambo Parliamentary Constituency: (i) Muchinka; and (ii) Lulimala; (b) if so, when the plans will be implemented; and (c) whether the electrification of the Wards will include all Government institutions in the Constituency.",4
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,331,Mr Katakwe (Solwezi East),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) when the mini-hospital at St Dorothy in Solwezi East Parliamentary Constituency will be opened to the public; and (b) what the cause of the delay in opening the hospital is.,2
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,332,Mr Mwila (Mufulira),Minister of Home Affairs and Internal Security,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) when police officers will be redeployed to the Kawama East Police Post in Mufulira Parliamentary Constituency, which was abandoned in 2017, following riots in the area; (b) how many officers will be deployed to the Police Post; (c) whether there are any plans to upgrade the Police Post to a police station; and (d) if so, when the plans will be implemented.",4
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,333,Mr Mulaliki (Senanga),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct a district hospital in Senanga; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; and (d) what the estimated time frame for the completion of the project is.",4
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,334,Mr Chanda (Kanchibiya),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) when rehabilitation of the Mpika - Kopa road in Kanchibiya Parliamentary Constituency will commence; and (b) what the cause of the delay in commencing the project is.,2
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,335,Mr Mandandi (Sioma),Minister of Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) when the following Schools in Sioma District will be included on the Establishment Register: (i) the 34 community schools which were upgraded to Government schools; (ii) Kalongola Secondary School; (iii) Mulele Secondary School; and (iv) Mutomena Secondary School; and (b) what the cause of the delay in including the schools on the Register is.,3
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,336,Mr C Chibuye (Mkushi North),Minister of Home Affairs and Internal Security,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to upgrade Masansa Police Post in Mkushi District to a police station; and (b) if so, when the plans will be implemented.",2
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,337,Mr Mutale (Chitambo),Minister of Agriculture,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to empower women and youth cooperatives in Chitambo District with agricultural machinery; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why. QUESTION FOR WRITTEN ANSWER (STANDING ORDER 75) W8. Mr Samakayi (Mwinilunga)  -  to ask the Minister of Health how many of the following health facilities there were, countrywide, as of October, 2021, by province and by district: (a) health posts; (b) health centres; (c) level 1 hospitals; (d) level 2 hospitals; and (e) tertiary hospitals. ORDER OF THE DAY 1. Question for Oral Answer under Standing Order 74 - Question 322 (7 June) – Resumption of consideration of Question: (The Minister of Infrastructure, Housing and Urban Development). __________________________",8
