document_title,source_url,document_type,session,date,year,question_number,asked_by,minister,section,question_text,parts_count,month,day_of_week,quarter,is_weekend,parliamentary_year,session_quarter,question_sequence,questions_per_day,mp_questions_total,mp_questions_this_year,mp_activity_rate,minister_questions_total,minister_questions_this_month,is_budget_season,is_election_year,text_length,word_count,sentence_count,avg_word_length,flesch_score,flesch_grade,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,is_yes_no_question,is_how_question,is_why_question,is_what_question,is_when_question,is_where_question,urgency_score,contains_numbers,contains_percentages,contains_money,topic_health,topic_education,topic_infrastructure,topic_agriculture,topic_mining,topic_water,topic_energy,topic_security,topic_finance,topic_governance,multi_sector_question,sector_count,dominant_sector,has_geographic_focus,mp_name,constituency,mp_cleaned_name,mp_gender,province,is_urban_constituency,is_mining_region,is_border_province,has_title,name_length,has_multiple_names,mp_minister_interactions,minister_diversity,mp_diversity,mp_rank_by_activity,minister_rank_by_workload,province_questions_total,province_mp_count,province_avg_questions_per_mp,gender_questions_total,is_female_mp,mp_question_interval,mp_avg_question_interval,mp_consistent_questioner,minister_high_pressure,end_of_year_activity,start_of_year_activity
"Wednesday, 16th October, 2019",https://www.parliament.gov.zm/node/8137,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,34,Mr Kamboni (Kalomo Central),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when the rehabilitation of township roads in Kalomo District will commence; (b) how many kilometres are earmarked for rehabilitation; and (c) what the total cost of the project is.,3,,,,0,,,,,4,,,43,,0,0,184,30,1,5.166666666666667,32.565000000000026,16.170000000000005,0.0,0.0,1.0,0.0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infrastructure,1,Mr Kamboni (Kalomo Central),Kalomo Central,Kamboni,Male,Southern,1,0,0,1,7,0,1,4,30,1537.5,1149.0,20,5,4.0,1515,0,,,0,0,0,0
"Thursday, 15th September, 2022",https://www.parliament.gov.zm/node/10342,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,17,Mr Kamboni (Kalomo Central),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) when the construction of township roads in Kalomo District will commence; and (b) what the cause of the delay in commencing the project is.,2,,,,0,,,,,4,,,129,,0,0,143,25,1,4.76,63.020000000000024,10.68,0.0,0.087,0.913,-0.3182,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infrastructure,1,Mr Kamboni (Kalomo Central),Kalomo Central,Kamboni,Male,Southern,1,0,0,1,7,0,1,4,73,1537.5,428.0,20,5,4.0,1515,0,,,0,1,0,0
"Friday, 5th November, 2021",https://www.parliament.gov.zm/node/9879,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,74,Mr Kamondo (Mufumbwe),Minister of Finance and National Planning,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) how much money was collected, countrywide, as toll fees, from 2016 to August, 2021, year by year; (b) which toll plaza collected the highest amount; (c) how many toll plazas were under construction, countrywide, as of August, 2021; and (d) when the construction will be completed and the plazas become operational.",4,,,,0,,,,,38,,,28,,0,0,318,52,1,5.134615384615385,22.274230769230797,23.070769230769233,0.0,0.0,1.0,0.0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2,infrastructure,0,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,1,23,19,263.5,1312.5,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Friday, 5th November, 2021",https://www.parliament.gov.zm/node/9879,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,78,Mr Kamondo (Mufumbwe),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) why the construction of Lunga Mini-Hospital in Kasempa District has stalled for over 10 years; (b) when the construction works will resume; (c) what the cost of the outstanding works is; and (d) what the time frame for the completion of the outstanding works is.,4,,,,0,,,,,38,,,190,,0,0,266,46,1,4.804347826086956,42.440652173913065,18.76739130434783,0.152,0.034,0.814,0.802,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,health,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,4,23,98,263.5,95.5,91,9,10.11111111111111,1515,0,,,1,1,0,0
"Thursday, 29th April, 2021",https://www.parliament.gov.zm/node/8965,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,179,Mr Kamondo (Mufumbwe),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) why the construction of science laboratories at the following Secondary Schools in Mufumbwe District has stalled: (i) Kaminzekezeke; (ii) Kaleule; and (iii) Kashima West; and (b) when the works will resume.,3,,,,0,,,,,38,,,67,,0,0,210,32,1,5.59375,47.45500000000003,14.590000000000003,0.0,0.055,0.945,-0.2023,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,education,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,3,23,44,263.5,930.0,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Tuesday, 12th July, 2022",https://www.parliament.gov.zm/node/10248,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,358,Mr Kamondo (Mufumbwe),Vice President,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether there were any women empowerment programmes implemented in Kasempa District from 2018 to 2020, year by year; (b) if so, what the programmes were; (c) in which wards the programmes were implemented; (d) if no such programmes were implemented, why; and (e) when women empowerment programmes will be introduced in the District.",5,,,,0,,,,,38,,,25,,0,0,336,54,1,5.2407407407407405,21.991666666666674,23.607037037037035,0.0,0.04,0.96,-0.296,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,energy,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,1,23,22,263.5,1366.0,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Tuesday, 12th July, 2022",https://www.parliament.gov.zm/node/10248,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,363,Mr Kamondo (Mufumbwe),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) when the construction of acrow bridges at the following crossing points in Mufumbwe Parliamentary Constituency will commence: (i) Musonweji; (ii) Dongwe; and (iii) Miluji; and (b) what the cause of the delay in commencing the project is.,3,,,,0,,,,,38,,,190,,0,0,241,38,1,5.368421052631579,25.78078947368425,19.103684210526314,0.0,0.059,0.941,-0.3182,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infrastructure,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,4,23,98,263.5,95.5,91,9,10.11111111111111,1515,0,,,1,1,0,0
"Thursday, 6th July, 2023",https://www.parliament.gov.zm/node/11107,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,337,Mr Kamondo (Mufumbwe),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct a play park in Mufumbwe District; and (b) if so, when the plans will be implemented.",2,,,,0,,,,,38,,,129,,0,0,138,25,1,4.56,59.636000000000024,11.152000000000001,0.094,0.0,0.906,0.34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,governance,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,5,23,73,263.5,428.0,91,9,10.11111111111111,1515,0,,,1,1,0,0
"Friday, 7th July, 2023",https://www.parliament.gov.zm/node/11116,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,342,Mr Kamondo (Mufumbwe),Minister of Mines and Minerals Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) how many mineral exploration licences were issued, countrywide, as of August, 2022; (b) how many areas, countrywide, were under exploration, as of August, 2022; (c) when mineral explorations were last conducted in the following districts: (i) Mufumbwe; and (ii) Kasempa; (d) what the results of the explorations were; and (e) how many mining licences were issued: (i) following the explorations at (a); and (ii) from 1968 to 2021.",7,,,,0,,,,,38,,,49,,0,0,434,69,1,5.304347826086956,-7.878260869565196,31.499710144927537,0.107,0.0,0.893,0.5719,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,mining,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,3,23,33,263.5,1103.0,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Tuesday, 27th June, 2023",https://www.parliament.gov.zm/node/11087,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,313,Mr Kamondo (Mufumbwe),Minister of Technology and Science,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to engage private companies to start using drones to transport medical and agriculture drugs to areas that are difficult to reach by road; (b) if so, when the plans will be implemented; and (c) which companies have expressed interest in undertaking the exercise. NOTICE OF MOTION Mr Kamboni Adopt Report of the Committee on National Guidance and Gender Matters: That this House do adopt the Report of the Committee on National Guidance and Gender Matters on Achieving the 50/50 Gender Parity in Governance and Decision-Making Positions in Zambia, for the Second Session of the Thirteenth National Assembly, laid on the Table of the House on Wednesday, 14th June, 2023. ____________________________",3,,,,0,,,,,38,,,32,,0,0,738,117,3,5.316239316239316,7.180576923076927,26.790811965811972,0.098,0.02,0.882,0.6808,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,4,health,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,3,23,26,263.5,1222.5,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Tuesday, 11th July, 2023",https://www.parliament.gov.zm/node/11124,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,348,Mr Kamondo (Mufumbwe),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to rehabilitate the Mufumbwe District Hospital; (b) if so, when the plans will be implemented; (c) whether there are any plans to construct a maternity wing at the Hospital; and (d) if so, when the plans will be implemented.",4,,,,0,,,,,38,,,173,,0,0,265,46,1,4.782608695652174,25.88847826086959,21.07608695652174,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,health,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,2,23,95,263.5,277.0,91,9,10.11111111111111,1515,0,,,1,1,0,0
"Thursday, 27th February, 2020",https://www.parliament.gov.zm/node/8294,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,202,Mr Kamondo (Mufumbwe),Minister of General Education when the following Secondary Schools in Mufumbwe Parliamentary Constituency will be designated as examination centres,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) Kabipupu; and (b) Jairos Fumpa.,2,,,,0,,,,,38,,,1,,0,0,35,6,1,5.0,116.14500000000001,-1.4499999999999993,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,health,0,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,1,23,1,263.5,1720.5,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Tuesday, 20th February, 2018",https://www.parliament.gov.zm/node/7368,Order Paper,SECOND SESSION OF THE TWELFTH ASSEMBLY,,,111,Mr Kamondo (Mufumbwe),Minister of Home Affairs,QUESTIONS FOR ORAL ANSWER,"(a) whether the Government has any plans to construct police posts in the following areas in Mufumbwe District: (i) Mushima; and (ii) Miluji; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",4,,,,0,,,,,38,,,30,,0,0,229,41,1,4.609756097560975,43.47853658536589,17.380487804878047,0.0,0.052,0.948,-0.296,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,security,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,1,23,26,263.5,1268.5,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Wednesday,17th November, 2021",https://www.parliament.gov.zm/node/9894,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,89,Mr Kamondo (Mufumbwe),Minister of Mines and Minerals Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) how many hectares of land were held by Jifumpa Mine in Kasempa District, as of July, 2020; (b) whether the land was on title; (c) if so when the title was issued; (d) whether the displaced households had been resettled and compensated, as of July, 2020; (e) whether the Jifumpa Mine has any corporate social responsibility programmes for the benefit of the local people; and (f) if so, what the programmes are. NOTICE OF MOTION Mr Mung’andu Give 100 Percent Scholarship: That, in order to increase access to higher education, this House urges the Government to give all first year students at public universities 100 percent scholarship, with effect from the 2022 academic year. ORDER OF THE DAY 1. Supply - Motion (29th October) - Resumption of Debate. __________________________",6,,,,0,,,,,38,,,49,,0,0,784,130,5,5.038461538461538,40.84562500000004,15.511875000000003,0.04,0.0,0.96,0.6486,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,4,education,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,3,23,33,263.5,1103.0,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Friday, 14th February, 2020",https://www.parliament.gov.zm/node/8284,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,144,Mr Kamondo (Mufumbwe),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government is aware that parents in Mufumbwe District and other parts of the country are asked to support the operations of the Provincial Education Office and the District Education Board Secretary’s Office through Parents and Teachers’ Association funds; (b) if so, whether the practice is lawful; and (c) if the practice is unlawful, when it will be stopped.",3,,,,0,,,,,38,,,54,,0,0,377,61,1,5.19672131147541,6.231475409836094,27.544262295081968,0.042,0.03,0.928,0.2023,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,3,education,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,1,23,34,263.5,1051.5,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Wednesday, 8th June, 2022",https://www.parliament.gov.zm/node/10170,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,325,Mr Kamondo (Mufumbwe),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct the following infrastructure in Mufumbwe District: (i) a market; and (ii) a bus station; (b) if so, when the plans will be implemented; (c) what the estimated cost of each project is; and (d) what the estimated time frame for the completion of each project is.",5,,,,0,,,,,38,,,129,,0,0,314,55,1,4.7272727272727275,23.340909090909122,23.667272727272728,0.0,0.0,1.0,0.0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,infrastructure,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,5,23,73,263.5,428.0,91,9,10.11111111111111,1515,0,,,1,1,0,0
"Wednesday, 20th October, 2021",https://www.parliament.gov.zm/node/9842,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,50,Mr Kamondo (Mufumbwe),"Minister of Infrastructure, Housing",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) when the construction of science laboratories at the following Secondary Schools in Mufumbwe Parliamentary Constituency will be completed: (i) Kaminzekezeke; (ii) Kalende; and (iii) Kashima; and (b) what the cause of the delay in completing the project is. ___________________________,3,,,,0,,,,,38,,,1,,0,0,288,40,2,6.225,22.41500000000002,20.070000000000004,0.0,0.056,0.944,-0.3182,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,education,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,1,23,1,263.5,1720.5,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Friday, 19th July, 2019",https://www.parliament.gov.zm/node/8017,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,478,Mr Kamondo (Mufumbwe),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government is aware that the building materials for the construction of a health post at Kamazovu in Kashima East Ward in Mufumbwe District were redirected to Chavuma District; and (b) if so, when the building materials will be replaced.",2,,,,0,,,,,38,,,173,,0,0,253,42,1,5.0476190476190474,29.247857142857157,19.613809523809525,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,3,health,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,2,23,95,263.5,277.0,91,9,10.11111111111111,1515,0,,,1,1,0,0
"Thursday, 11th October, 2018",https://www.parliament.gov.zm/node/7710,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,63,Mr Kamondo (Mufumbwe),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER NO. 30),(a) when the contractor who gravelled the township roads in Mufumbwe District will be paid; (b) what has caused the delay in paying the contractor; and (c) when tarring of the roads at (a) will commence.,3,,,,0,,,,,38,,,43,,0,0,203,36,1,4.666666666666667,55.145000000000024,14.511111111111116,0.0,0.11,0.89,-0.4939,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infrastructure,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,1,23,30,263.5,1149.0,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Tuesday, 7th June, 2022",https://www.parliament.gov.zm/node/10169,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,325,Mr Kamondo (Mufumbwe),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct the following infrastructure in Mufumbwe District: (i) a market; and (ii) a bus station; (b) if so, when the plans will be implemented; (c) what the estimated cost of each project is; and (d) what the estimated time frame for the completion of each project is.",5,,,,0,,,,,38,,,129,,0,0,314,55,1,4.7272727272727275,23.340909090909122,23.667272727272728,0.0,0.0,1.0,0.0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,infrastructure,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,5,23,73,263.5,428.0,91,9,10.11111111111111,1515,0,,,1,1,0,0
"Tuesday, 28th March, 2023",https://www.parliament.gov.zm/node/10974,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,239,Mr Kamondo (Mufumbwe),"Minister of Infrastructure,Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) when Acrow Bridges will be installed on the following crossing points inMufumbwe Parliamentary Constituency: (i) Musonweji; (ii) Ndongwe; and (iii) Miluji; (b) what the cause of the delay in installing the Bridges is; and (c) when other Acrow Bridges will be installed, countrywide.",4,,,,0,,,,,38,,,4,,0,0,286,44,1,5.5227272727272725,19.89318181818183,21.415454545454548,0.0,0.051,0.949,-0.3182,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infrastructure,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,1,23,4,263.5,1623.5,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,182,Mr Kamondo (Mufumbwe),"Minister of Water Development, Sanitation and Environmental Protection",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when the sinking of boreholes in the following Wards in Mufumbwe Parliamentary Constituency will commence: (i) Miluji; (ii) Lalafuta; (iii) Kaminzekezeke; (iv) Mushima; (v) Musonweji; (vi) Kabipupu; (vii) Kalengwa; and (viii) Matushi; and (b) what has caused the delay in commencing the project.,4,,,,0,,,,,38,,,18,,0,0,299,44,1,5.818181818181818,21.815909090909116,21.147272727272725,0.0,0.077,0.923,-0.3612,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,water,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,1,23,14,263.5,1417.5,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Thursday, 13th July, 2023",https://www.parliament.gov.zm/node/11128,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,372,Mr Kamondo (Mufumbwe),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct a modern market and a bus station in Mufumbwe Parliamentary Constituency; and (b) if so, when the plans will be implemented.",2,,,,0,,,,,38,,,129,,0,0,178,30,1,4.966666666666667,32.565000000000026,16.170000000000005,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,governance,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,5,23,73,263.5,428.0,91,9,10.11111111111111,1515,0,,,1,1,0,0
"Tuesday, 11th December, 2018",https://www.parliament.gov.zm/node/7821,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,124,Mr Kamondo (Mufumbwe),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to construct houses for civil servants in Mufumbwe District; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3,,,,0,,,,,38,,,67,,0,0,189,34,1,4.588235294117647,52.889705882352956,14.328823529411768,0.0,0.062,0.937,-0.296,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,governance,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,3,23,44,263.5,930.0,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Tuesday, 22nd February, 2022",https://www.parliament.gov.zm/node/10012,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,189,Mr Kamondo (Mufumbwe),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) how many fire tenders the Government procured, countrywide, between January, 2015 and August, 2021, year by year; (b) what the cost of the fire tenders was, year by year; (c) how the fire tenders were distributed; (d) how much the fire tenders were insured at, year by year; and (e) how many fire tenders were operational, as of December, 2021. PRESENTATION OF GOVERNMENT BILLS The Vice President The Emoluments Commission - Bill to provide for the membership, functions, operations and financial management of the Emoluments Commission; provide for a harmonised framework to govern the determination and management of emoluments for chiefs and officers in a State organ and State institution; enhance the capacity of a State organ and State institution to attract, retain and motivate officers and staff with requisite qualifications, skills and experience in order to improve service delivery; and provide for matters connected with, or incidental to, the foregoing. (N.A.B 1/2022) The Minister of Commerce, Trade and Industry The Zambia Institute of Marketing - Bill to continue the existence of The Zambia Institute of Marketing and redefine its powers and functions; promote and enhance the marketing profession; provide for the registration of marketers and regulate their practice and professional conduct; repeal and replace the Zambia Institute of Marketing Act, 2003; and provide for matters connected with, or incidental to, the foregoing. (N.A.B 2/2022) The Minister of Labour and Social Security The Zambia Institute of Human Resource Management - Bill to continue the existence of the Zambia Institute of Human Resources Management and rename it as the Zambia Institute of Human Resource Management and re-define its functions; promote and enhance the human resource management profession; provide for the registration of human resource management practitioners and regulate their practice and professional conduct; repeal and replace the Zambia Institute of Human Resources Management Act, 1997; and provide for matters connected with, or incidental to, the foregoing.  (N.A.B 3/2022) The Minister of Community Development and Social Services The Social Workers’ Association of Zambia - Bill to continue the existence of the Social Workers’ Association of Zambia; provide for the registration of social workers and regulate their professional conduct; provide for disciplinary procedures for social workers in the social work profession; and provide for matters connected with, or incidental to, the foregoing. (N.A.B 4/2022) ORDER OF THE DAY 1. Question for Oral Answer under Standing Order 74 - Question 182 (18 February) – Resumption of consideration of Question: (Mr E J Banda, MP). __________________________",5,,,,0,,,,,38,,,129,,0,0,2732,412,8,5.631067961165049,-8.524162561576333,28.85709359605912,0.077,0.037,0.885,0.8442,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,3,energy,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,5,23,73,263.5,428.0,91,9,10.11111111111111,1515,0,,,1,1,0,0
"Thursday, 18th November, 2021",https://www.parliament.gov.zm/node/9895,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,90,Mr Kamondo (Mufumbwe),Minister of Mines and Minerals Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government issued any prospecting or exploration licences in the following areas, countrywide, from 2014 to 2019: (i) national parks; (ii) game management areas; (iii) national forests; and (iv) bird sanctuaries; (b) whether there have been any litigation arising from the issuance of the licences at (a); (c) if so, how many such cases there were, as of July, 2020; and (d) what measures the Government is taking to avoid such legal suits.",5,,,,0,,,,,38,,,49,,0,0,456,75,1,5.093333333333334,-10.289999999999964,33.32666666666667,0.043,0.051,0.906,-0.1531,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,governance,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,3,23,33,263.5,1103.0,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Thursday, 18th November, 2021",https://www.parliament.gov.zm/node/9895,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,92,Mr Kamondo (Mufumbwe),Minister of Technology and Science,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) when the construction of communication towers in the following areas in Kasempa District will be completed: (i) Kabila; (v) Kalombe; (ii) Maako-Nyoka; (vi) Katete; (iii) Kamatete; (vii) Mufwashi-Nyoka; and (iv) Lubofu; (viii) Jifumpa; (b) what has caused the delay in completing the construction works; and (c) when the towers will become operational.,4,,,,0,,,,,38,,,32,,0,0,355,53,1,5.716981132075472,17.36075471698115,24.004528301886797,0.0,0.042,0.958,-0.3182,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infrastructure,1,Mr Kamondo (Mufumbwe),Mufumbwe,Kamondo,Male,North-Western,0,1,1,1,7,0,3,23,26,263.5,1222.5,91,9,10.11111111111111,1515,0,,,1,0,0,0
